rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
330,nyy,29,121,673380,Dedniel Núñez,7,1.5,6.0,3,3,3,6,4,0,18,27,124,4.5,0,1,0,0,0,0,0,0,,,,
331,nyy,33,121,592773,Ryne Stanek,31,1.5,26.0,28,18,13,11,26,2,78,117,494,4.5,1,5,3,2,4,0,0,0,,,,
332,sf,42,137,434378,Justin Verlander,12,1.41,61.2,64,34,31,23,52,9,185,268,1028,4.52,0,0,0,0,5,12,0,0,CFL,CFL,7590,SP
333,tex,25,140,683004,Jack Leiter,13,1.32,65.1,54,33,33,32,51,9,196,278,1122,4.55,0,0,0,4,5,13,0,0,,,,
334,fa,23,533,690986,Kyle Harrison,8,1.27,23.2,21,12,12,9,25,4,71,100,388,4.56,0,1,0,1,1,4,0,0,TBB,TBB,12175,SP
335,fa,34,568,621199,Matt Bowman,18,1.29,21.2,23,12,11,5,16,3,65,95,381,4.57,0,0,0,0,1,0,0,0,,,,
336,tb,24,139,671737,Taj Bradley,16,1.28,86.2,76,52,44,35,77,12,260,366,1375,4.57,0,0,0,5,5,16,0,0,CFL,CFL,12554,SP
337,fa,34,568,621199,Matt Bowman,18,1.29,21.2,23,12,11,5,16,3,65,95,381,4.57,0,0,0,0,1,0,0,0,,,,
338,fa,34,568,621199,Matt Bowman,18,1.29,21.2,23,12,11,5,16,3,65,95,381,4.57,0,0,0,0,1,0,0,0,,,,
339,fa,34,568,621199,Matt Bowman,18,1.29,21.2,23,12,11,5,16,3,65,95,381,4.57,0,0,0,0,1,0,0,0,,,,
340,wsh,25,120,680730,Mitchell Parker,16,1.32,86.1,81,48,44,33,59,11,259,370,1396,4.59,0,0,0,5,8,16,0,0,,,,
341,tor,34,141,592332,Kevin Gausman,15,1.13,86.0,73,45,44,24,84,12,258,348,1400,4.6,0,0,0,5,6,15,0,0,B2J,B2J,9334,SP
342,bal,29,110,665152,Dean Kremer,16,1.34,90.0,97,48,46,24,72,12,270,384,1458,4.6,0,0,0,6,7,15,0,0,,,,
